Player,Position,seasons,Actual,Predicted,Deviation,avg_pct_dev
Leandro Trossard,F,4,€3.9M,€6.9M,-42%,-41.87236065592542
Neal Maupay,F,2,€2.1M,€3.7M,-43%,-43.09029502362209
Mason Mount,F,2,€4.9M,€8.7M,-44%,-44.08744364592698
Yoane Wissa,F,2,€1.5M,€3.5M,-56%,-56.11855776357129
Demarai Gray,F,2,€1.5M,€4.1M,-64%,-63.56002585752915
Ivan Toney,F,2,€1.2M,€3.4M,-64%,-63.9260590642288
Luis Díaz,F,2,€3.4M,€10.5M,-68%,-67.94735465764107
Dwight McNeil,F,4,€0.9M,€3.1M,-74%,-74.32978237416297
David De Gea,K,3,€22.7M,€6.7M,+242%,241.88872386748002
Bernd Leno,K,4,€6.8M,€3.6M,+113%,112.58247330241528
Jordan Pickford,K,5,€7.0M,€3.6M,+95%,95.156497363787
Kasper Schmeichel,K,2,€7.9M,€4.7M,+68%,68.42266859392609
Alphonse Aréola,K,3,€6.0M,€3.7M,+64%,63.88215724574607
Vicente Guaita,K,3,€4.5M,€2.9M,+59%,58.738317701718195
Emiliano Martinez,K,5,€6.7M,€4.3M,+56%,56.46496575772919
Aaron Ramsdale,K,4,€4.8M,€3.5M,+45%,45.29033124875678
Kepa Arrizabalaga,K,3,€6.0M,€5.5M,+26%,26.399748436015752
André Onana,K,2,€7.3M,€6.6M,+12%,11.922588359671526
Alisson,K,5,€8.4M,€8.0M,+4%,4.053622145802147
Neto,K,2,€3.0M,€3.1M,-2%,-1.5130161016283616
Illan Meslier,K,3,€1.4M,€1.6M,-8%,-7.840487344867246
Ederson,K,5,€5.6M,€6.5M,-12%,-12.053032555993333
Nick Pope,K,4,€2.7M,€3.4M,-21%,-21.43391700628569
Łukasz Fabiański,K,3,€3.9M,€5.1M,-23%,-22.747549345310247
David Raya,K,3,€4.3M,€5.4M,-24%,-23.937494656469056
Hugo Lloris,K,2,€6.1M,€10.2M,-40%,-40.00755550822255
Mark Flekken,K,2,€1.8M,€3.3M,-44%,-43.8219399074419
Edouard Mendy,K,2,€3.3M,€6.1M,-45%,-45.1402801296995
Robert Sánchez,K,3,€1.9M,€4.1M,-58%,-57.933304488771775
João Gomes,M,2,€4.0M,€1.9M,+103%,103.37665096175293
Bruno Guimarães,M,3,€8.9M,€4.8M,+87%,87.15029492001554
João Moutinho,M,2,€6.1M,€3.3M,+82%,81.93516339260074
Abdoulaye Doucouré,M,4,€7.6M,€4.3M,+77%,77.22103376164742
Joelinton,M,3,€6.5M,€3.6M,+77%,77.03943938890676
Jefferson Lerma,M,3,€3.9M,€2.7M,+46%,46.00088348996592
João Palhinha,M,2,€4.0M,€2.7M,+45%,44.759103774897596
Jacob Ramsey,M,2,€4.2M,€3.0M,+40%,40.4704381909651
Thomas Partey,M,2,€12.0M,€9.3M,+30%,30.215680199345506
James Ward-Prowse,M,4,€5.5M,€4.3M,+29%,29.399323494908685
Idrissa Gana Gueye,M,2,€7.2M,€5.6M,+29%,28.83275121917469
Ruben Neves,M,3,€3.0M,€2.4M,+28%,28.378897737497983
Declan Rice,M,5,€8.0M,€5.7M,+26%,26.416521406937505
Moisés Caicedo,M,3,€7.3M,€5.7M,+26%,26.174061860700192
John McGinn,M,4,€5.3M,€4.3M,+25%,25.174942337793645
Fabinho,M,3,€9.3M,€7.4M,+23%,22.887107218297967
Lewis Cook,M,2,€3.0M,€2.5M,+21%,20.866447324751114
Josh Brownhill,M,3,€2.5M,€2.3M,+11%,11.004457718886671
Douglas Luiz,M,4,€3.9M,€3.8M,+2%,1.736255870128053
Rodri,M,4,€10.3M,€11.0M,-2%,-1.878313228468806
Alexis Mac Allister,M,3,€7.1M,€6.9M,-3%,-2.8350096141115393
Sean Longstaff,M,2,€3.0M,€3.4M,-9%,-9.361794069252804
Pierre Emile Hojbjerg,M,3,€6.0M,€6.9M,-12%,-11.587375235366737
Granit Xhaka,M,3,€6.8M,€8.0M,-14%,-13.504125675465891
Harrison Reed,M,2,€1.8M,€2.2M,-18%,-17.632696729093
Christian Norgaard,M,3,€2.2M,€2.8M,-20%,-20.423637771236653
Vitaly Janelt,M,3,€1.8M,€2.3M,-21%,-20.971398382708703
Youri Tielemans,M,4,€3.9M,€4.5M,-23%,-22.587816276467613
Ashley Westwood,M,2,€2.2M,€3.0M,-26%,-25.974733804268613
Pascal Groß,M,3,€3.6M,€6.8M,-46%,-45.99757038940405
Conor Gallagher,M,3,€1.7M,€4.1M,-56%,-56.12343895576942
